task_type,scheduled_hour,day_of_week,duration,previous_completion_rate,previous_task_status,activity_level,sleep_duration,user_preference,availability,completed,data_source
BREAK,13,6,45,0.39,RESCHEDULED,SEDENTARY,6.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,22,1,60,0.93,NONE,SEDENTARY,7.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,14,2,30,0.85,RESCHEDULED,VERY_ACTIVE,8.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,9,5,30,0.68,COMPLETED,MODERATELY_ACTIVE,6.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,19,1,20,0.59,NONE,SEDENTARY,5.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,8,0,15,0.65,MISSED,MODERATELY_ACTIVE,7.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,5,20,0.88,MISSED,MODERATELY_ACTIVE,7.2,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,3,30,0.48,MISSED,VERY_ACTIVE,8.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,4,45,0.79,NONE,VERY_ACTIVE,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,6,2,15,0.66,SKIPPED,MODERATELY_ACTIVE,4.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,5,20,0.47,SKIPPED,LIGHTLY_ACTIVE,8.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,4,15,0.57,SKIPPED,SEDENTARY,6.7,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,0,20,0.43,RESCHEDULED,MODERATELY_ACTIVE,5.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,3,10,0.5,MISSED,VERY_ACTIVE,5.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,17,3,20,0.36,NONE,VERY_ACTIVE,10.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,18,1,20,0.51,COMPLETED,VERY_ACTIVE,9.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,1,60,0.84,COMPLETED,VERY_ACTIVE,5.8,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,21,0,30,0.48,NONE,MODERATELY_ACTIVE,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,8,3,20,0.4,COMPLETED,SEDENTARY,6.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,12,3,15,0.58,SKIPPED,LIGHTLY_ACTIVE,9.4,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,15,1,45,0.63,NONE,SEDENTARY,7.0,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,17,1,20,0.38,NONE,MODERATELY_ACTIVE,7.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,0,30,0.43,NONE,SEDENTARY,6.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,1,15,0.85,SKIPPED,LIGHTLY_ACTIVE,5.7,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,1,30,0.71,NONE,VERY_ACTIVE,8.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,14,2,60,0.57,SKIPPED,SEDENTARY,8.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,10,3,20,0.79,COMPLETED,MODERATELY_ACTIVE,8.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,22,3,10,0.89,RESCHEDULED,SEDENTARY,7.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,20,4,10,0.69,RESCHEDULED,MODERATELY_ACTIVE,6.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,19,6,10,0.78,NONE,MODERATELY_ACTIVE,7.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,14,1,30,0.86,NONE,VERY_ACTIVE,6.6,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,21,4,20,0.83,COMPLETED,SEDENTARY,7.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,17,5,30,0.46,MISSED,MODERATELY_ACTIVE,5.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,4,30,0.78,MISSED,SEDENTARY,6.7,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,0,45,0.45,SKIPPED,VERY_ACTIVE,7.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,3,10,0.66,RESCHEDULED,SEDENTARY,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,6,20,0.71,MISSED,VERY_ACTIVE,7.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,3,10,0.52,SKIPPED,VERY_ACTIVE,7.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,10,0,15,0.59,COMPLETED,SEDENTARY,8.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,2,30,0.92,NONE,MODERATELY_ACTIVE,6.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,4,10,0.54,COMPLETED,LIGHTLY_ACTIVE,5.1,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,18,0,20,0.57,COMPLETED,SEDENTARY,8.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,22,4,60,0.95,NONE,MODERATELY_ACTIVE,6.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,4,15,0.87,SKIPPED,VERY_ACTIVE,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,5,30,0.64,RESCHEDULED,SEDENTARY,9.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,6,10,0.79,NONE,LIGHTLY_ACTIVE,9.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,3,60,0.7,SKIPPED,LIGHTLY_ACTIVE,6.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,6,20,0.7,MISSED,SEDENTARY,7.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,1,30,0.34,NONE,LIGHTLY_ACTIVE,5.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,2,20,0.6,MISSED,LIGHTLY_ACTIVE,8.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,9,0,45,0.61,NONE,VERY_ACTIVE,6.7,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,4,10,0.66,NONE,SEDENTARY,6.6,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,22,5,15,0.51,SKIPPED,SEDENTARY,9.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,4,10,0.86,COMPLETED,MODERATELY_ACTIVE,7.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,1,30,0.65,SKIPPED,SEDENTARY,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,18,1,20,0.65,COMPLETED,MODERATELY_ACTIVE,6.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,6,10,0.65,COMPLETED,SEDENTARY,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,3,20,0.68,COMPLETED,VERY_ACTIVE,4.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,3,20,0.67,MISSED,SEDENTARY,7.8,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,6,20,0.85,COMPLETED,MODERATELY_ACTIVE,7.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,3,60,0.88,RESCHEDULED,VERY_ACTIVE,7.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,7,6,20,0.61,NONE,VERY_ACTIVE,7.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,9,2,15,0.78,RESCHEDULED,MODERATELY_ACTIVE,8.4,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,4,20,0.33,SKIPPED,VERY_ACTIVE,8.1,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,1,15,0.83,COMPLETED,MODERATELY_ACTIVE,8.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,8,5,10,0.85,RESCHEDULED,VERY_ACTIVE,8.1,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,16,0,15,0.55,COMPLETED,VERY_ACTIVE,7.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,8,4,15,0.45,SKIPPED,LIGHTLY_ACTIVE,7.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,13,6,30,0.88,NONE,LIGHTLY_ACTIVE,4.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,20,6,20,0.34,MISSED,MODERATELY_ACTIVE,9.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,12,2,15,0.39,NONE,SEDENTARY,8.4,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,4,15,0.78,RESCHEDULED,LIGHTLY_ACTIVE,7.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,0,10,0.65,RESCHEDULED,SEDENTARY,6.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,3,30,0.77,MISSED,MODERATELY_ACTIVE,6.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,10,3,15,0.89,SKIPPED,LIGHTLY_ACTIVE,8.1,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,6,30,0.69,RESCHEDULED,VERY_ACTIVE,7.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,10,6,15,0.67,SKIPPED,SEDENTARY,9.1,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,6,5,15,0.41,RESCHEDULED,LIGHTLY_ACTIVE,6.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,13,6,20,0.34,COMPLETED,LIGHTLY_ACTIVE,6.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,7,6,15,0.78,COMPLETED,VERY_ACTIVE,5.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,12,3,20,0.89,COMPLETED,SEDENTARY,9.4,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,0,60,0.4,RESCHEDULED,MODERATELY_ACTIVE,8.6,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,4,20,0.58,MISSED,LIGHTLY_ACTIVE,6.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,2,10,0.8,SKIPPED,LIGHTLY_ACTIVE,6.5,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,2,15,0.42,NONE,MODERATELY_ACTIVE,7.0,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,6,60,0.85,NONE,VERY_ACTIVE,7.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,5,15,0.67,MISSED,SEDENTARY,9.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,19,2,60,0.91,NONE,LIGHTLY_ACTIVE,7.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,12,1,10,0.44,MISSED,VERY_ACTIVE,7.6,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,20,4,15,0.47,SKIPPED,MODERATELY_ACTIVE,5.7,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,10,4,20,0.66,SKIPPED,SEDENTARY,7.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,5,20,0.88,COMPLETED,LIGHTLY_ACTIVE,7.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,13,1,20,0.47,MISSED,LIGHTLY_ACTIVE,7.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,16,5,45,0.38,RESCHEDULED,SEDENTARY,7.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,1,30,0.37,NONE,MODERATELY_ACTIVE,9.1,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,18,0,20,0.55,SKIPPED,LIGHTLY_ACTIVE,9.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,0,10,0.69,SKIPPED,SEDENTARY,5.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,2,45,0.56,NONE,VERY_ACTIVE,6.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,3,10,0.62,NONE,MODERATELY_ACTIVE,8.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,0,20,0.75,SKIPPED,SEDENTARY,6.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,10,3,30,0.48,SKIPPED,VERY_ACTIVE,6.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,0,20,0.42,MISSED,VERY_ACTIVE,6.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,10,5,20,0.94,SKIPPED,SEDENTARY,8.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,6,60,0.66,SKIPPED,MODERATELY_ACTIVE,8.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,14,2,45,0.93,NONE,LIGHTLY_ACTIVE,8.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,8,3,10,0.35,NONE,MODERATELY_ACTIVE,4.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,6,15,0.65,NONE,LIGHTLY_ACTIVE,8.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,7,6,20,0.94,MISSED,MODERATELY_ACTIVE,5.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,2,60,0.53,COMPLETED,SEDENTARY,7.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,15,5,20,0.57,NONE,SEDENTARY,6.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,5,45,0.77,NONE,SEDENTARY,7.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,9,3,60,0.82,NONE,MODERATELY_ACTIVE,6.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,19,2,45,0.94,RESCHEDULED,VERY_ACTIVE,8.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,0,15,0.42,MISSED,VERY_ACTIVE,9.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,6,45,0.9,SKIPPED,SEDENTARY,6.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,8,2,15,0.45,COMPLETED,SEDENTARY,5.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,16,0,20,0.48,NONE,SEDENTARY,7.1,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,7,3,20,0.47,NONE,VERY_ACTIVE,7.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,4,45,0.94,SKIPPED,VERY_ACTIVE,7.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,1,20,0.86,COMPLETED,LIGHTLY_ACTIVE,8.4,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,6,2,45,0.76,MISSED,SEDENTARY,8.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,4,45,0.87,MISSED,MODERATELY_ACTIVE,8.6,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,4,30,0.4,RESCHEDULED,LIGHTLY_ACTIVE,7.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,19,2,60,0.71,SKIPPED,VERY_ACTIVE,8.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,21,5,15,0.31,COMPLETED,VERY_ACTIVE,6.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,9,3,30,0.34,MISSED,VERY_ACTIVE,8.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,5,15,0.7,MISSED,LIGHTLY_ACTIVE,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,6,20,0.8,SKIPPED,MODERATELY_ACTIVE,6.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,0,10,0.86,NONE,SEDENTARY,8.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,2,45,0.93,RESCHEDULED,SEDENTARY,6.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,2,15,0.94,COMPLETED,LIGHTLY_ACTIVE,6.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,1,45,0.61,RESCHEDULED,LIGHTLY_ACTIVE,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,6,20,0.64,MISSED,SEDENTARY,7.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,6,10,0.75,RESCHEDULED,SEDENTARY,8.1,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,7,2,60,0.4,NONE,LIGHTLY_ACTIVE,6.1,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,4,30,0.92,COMPLETED,VERY_ACTIVE,9.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,14,0,10,0.67,RESCHEDULED,VERY_ACTIVE,8.6,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,0,45,0.35,NONE,VERY_ACTIVE,6.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,6,15,0.75,SKIPPED,LIGHTLY_ACTIVE,8.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,12,6,20,0.76,SKIPPED,VERY_ACTIVE,8.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,12,2,45,0.66,SKIPPED,LIGHTLY_ACTIVE,9.7,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,1,10,0.46,NONE,SEDENTARY,6.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,3,30,0.87,NONE,MODERATELY_ACTIVE,7.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,4,10,0.32,COMPLETED,MODERATELY_ACTIVE,4.8,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,10,3,30,0.8,RESCHEDULED,VERY_ACTIVE,8.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,3,45,0.89,SKIPPED,MODERATELY_ACTIVE,10.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,17,2,20,0.71,COMPLETED,MODERATELY_ACTIVE,6.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,5,20,0.57,NONE,SEDENTARY,8.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,20,5,20,0.53,SKIPPED,MODERATELY_ACTIVE,6.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,10,4,15,0.8,RESCHEDULED,SEDENTARY,5.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,2,20,0.52,NONE,LIGHTLY_ACTIVE,6.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,0,15,0.53,RESCHEDULED,SEDENTARY,7.7,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,17,4,30,0.76,RESCHEDULED,MODERATELY_ACTIVE,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,7,0,20,0.91,NONE,SEDENTARY,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,0,20,0.33,SKIPPED,VERY_ACTIVE,8.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,5,10,0.32,NONE,VERY_ACTIVE,7.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,1,15,0.78,NONE,VERY_ACTIVE,8.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,22,1,45,0.67,RESCHEDULED,MODERATELY_ACTIVE,5.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,6,0,15,0.73,NONE,VERY_ACTIVE,6.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,11,6,60,0.56,NONE,SEDENTARY,7.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,16,3,30,0.8,RESCHEDULED,LIGHTLY_ACTIVE,8.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,2,20,0.49,COMPLETED,SEDENTARY,7.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,12,6,30,0.55,COMPLETED,SEDENTARY,6.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,5,20,0.79,COMPLETED,MODERATELY_ACTIVE,5.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,7,5,45,0.83,COMPLETED,VERY_ACTIVE,7.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,6,30,0.77,MISSED,MODERATELY_ACTIVE,5.8,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,6,10,0.92,RESCHEDULED,MODERATELY_ACTIVE,5.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,4,20,0.64,MISSED,SEDENTARY,6.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
